Species,CommonName,Description
Rhinogobius giurinus,,"A small goby (up to 10 cm) found in East Asian rivers and streams. Benthic and insectivorous, often used in local fisheries."
Umbra limi,Central mudminnow,"Found in North America, inhabiting slow waters with muddy bottoms. Grows to 13 cm, known for tolerance to low oxygen levels."
Mystus tengara,Tengara catfish,"A small bagrid catfish from South Asia, growing up to 12 cm. Identified by its dark body with pale spots; omnivorous and hardy."
Engraulis encrasicolus,European anchovy,"A pelagic schooling fish found in the Mediterranean and Atlantic. Grows to 20 cm, commercially important as food and bait."
Pterophyllum scalare,Freshwater angelfish,"Native to the Amazon Basin, with tall, triangular fins and laterally compressed body. Popular ornamental fish, reaching 15 cm."
Glossolepis incisa,Red rainbowfish,"Endemic to Lake Sentani, Papua. Males develop bright red coloration, growing up to 15 cm. Popular in aquariums."
Cabdio morar,Morari,"A small cyprinid native to South Asia, found in rivers and streams. Slender, silvery body reaching 10 cm."
Clupeonella cultriventris,Black and Caspian Sea sprat,"A small herring-like fish from the Black and Caspian Seas. Forms large schools, feeding on plankton, reaching 10–12 cm."
Devario devario,Sind danio,"Native to rivers of India and Bangladesh, reaching 10 cm. Strong swimmer with horizontal stripes."
Pethia conchonius,Rosy barb,"Popular aquarium fish from South Asia, usually 6-10 cm. Males show bright red during breeding, while females are golden."
Alburnus escherichii,Caucasian bleak,"Endemic to Turkey’s Sakarya River basin. Small, silvery fish up to 12 cm, often found in schools."
Australoheros facetus,Chameleon cichlid,"A hardy cichlid from South America, reaching 15 cm. Known for changing coloration depending on mood and breeding."
Monodactylus argenteus,Silver moony,"Brackish-water fish with a diamond-shaped silvery body. Native to Indo-Pacific estuaries, grows up to 25 cm."
Misgurnus anguillicaudatus,Pond loach,"An elongated freshwater loach from East Asia, reaching 25 cm. Hardy, burrows in mud, and used in traditional medicine."
Nandus nandus,Gangetic leaffish,A predatory Asian fish with a compressed body and mottled coloration for camouflage. Reaches up to 20 cm.
Acanthorhodeus chankaensis,Khanka spiny bitterling,"A small cyprinid (up to 7 cm) from East Asia. Females lay eggs in freshwater mussels, a unique reproductive adaptation."
Puntius vittatus,Greenstripe barb,"Native to India and Sri Lanka. Slender body with horizontal stripes, reaching 8 cm. Prefers streams and rivers."
Dawkinsia filamentosa,Blackspot barb,A South Indian barb up to 15 cm. Males develop long filamentous extensions on dorsal fins during breeding.
Paramisgurnus dabryanus,,"Freshwater loach native to China, reaching 18 cm. Burrows in soft substrates and feeds on benthic invertebrates."
Geophagus surinamensis,Redstriped eartheater,"A South American cichlid, up to 25 cm. Sifts sand through its mouth to feed, hence the name “eartheater.”"
Macrognathus circumcinctus,,"A slender eel-like fish with banded markings, reaching 15 cm. Found in Southeast Asia, active at night."
Psalidodon fasciatus,Banded astyanax,A small characin (6-8 cm) from South America with dark vertical stripes. Peaceful schooling species for aquariums.
Puntius sophore,Pool barb,"A small cyprinid from South Asia, usually 5-8 cm long. Found in rivers, streams, and ponds; commonly used as food and bait fish."
Glossogobius giuris,Tank goby,"A widely distributed goby across Asia and Oceania. Grows up to 50 cm, with a long body and spotted patterns. Important food fish in many regions."
Hemiculter leucisculus,Sharpbelly,A small cyprinid (up to 15 cm) native to East Asia but invasive in many areas. Recognized by its silvery body and sharp belly keel.
Opsariichthys uncirostris,Three-lips,"Native to Japan, China, and Korea. Elongated body with silvery sides, growing up to 30 cm. Prefers rivers and lakes."
Alburnus alburnus,Bleak,"A small schooling fish (up to 20 cm) native to Europe and Western Asia. Silvery, slender body; important prey species for larger fish."
Callichthys callichthys,Cascarudo,A South American catfish with bony plates along its body. Grows up to 24 cm and can breathe atmospheric air.
Catostomus platyrhynchus,Mountain sucker,"A North American sucker fish inhabiting streams and rivers. Grows to 20 cm, with a flattened snout and sucker mouth for scraping algae."
Geophagus brasiliensis,Pearl cichlid,"Native to Brazil, up to 25 cm long. Known for sand-sifting feeding behavior and pearly spots on the body."
Barbonymus schwanefeldii,Tinfoil barb,"A large, fast-growing cyprinid from Southeast Asia, reaching 35 cm. Silvery with red-tipped fins; popular in aquaculture and aquariums."
Alburnus tarichi,Tarek,"Endemic to Lake Van, Turkey. Reaches 25 cm, migrates to rivers to spawn. An important local food fish."
Hypselecara temporalis,Emerald cichlid,"South American cichlid, up to 30 cm long. Known for its brown coloration and peaceful temperament compared to other cichlids."
Osmerus eperlanus,European smelt,"A small, silvery fish (up to 20 cm) from northern Europe. Recognized by its cucumber-like odor when fresh."
Platydoras costatus,Raphael catfish,"A nocturnal armored catfish from South America, reaching 20 cm. Dark body with white longitudinal stripes. Popular in aquariums."
Esox americanus,Redfin pickerel,"A small pike species from North America, growing up to 30-40 cm. Ambush predator of small fish and insects."
Caspiomyzon wagneri,Caspian lamprey,"An anadromous lamprey endemic to the Caspian Sea basin. Jawless fish, parasitic in adult stage."
Neogobius melanostomus,Round goby,"Invasive goby from the Black and Caspian Seas, now widespread in Europe and North America. Grows to 25 cm, highly adaptable."
Lepomis auritus,Redbreast sunfish,A North American sunfish with bright orange belly and long opercular flap. Reaches 30 cm; popular among anglers.
Potamalosa richmondia,Freshwater herring,"Endemic to eastern Australia, inhabiting rivers and estuaries. Grows up to 40 cm, commercially important."
Monopterus cuchia,Cuchia,"An elongated swamp eel from South Asia, up to 100 cm long. Used as food and in traditional medicine."
Perccottus glenii,Chinese sleeper,"A small predatory fish native to East Asia, invasive in Europe. Grows to 25 cm, hardy and tolerant of poor conditions."
Metynnis hypsauchen,Silver dollar,"A South American characin resembling a coin, reaching 15 cm. Plant-eating and often kept in aquariums."
Acarichthys heckelii,Threadfin acara,"A cichlid from the Amazon Basin, up to 20 cm. Males have elongated fin filaments and golden coloration."
Hiodon tergisus,Mooneye,"A North American freshwater fish, silvery with large eyes. Reaches 40 cm, feeds on insects and small fish."
Notopterus notopterus,Bronze featherback,"A knifefish from South and Southeast Asia, up to 60 cm long. Recognized by its bronze sheen and undulating anal fin."
Andinoacara latifrons,Platinum acara,"A Colombian cichlid reaching 20 cm. Peaceful compared to other cichlids, with silvery-blue coloration."
Heteropneustes fossilis,Stinging catfish,"South Asian air-breathing catfish, growing up to 30 cm. Known for venomous pectoral spines."
Clarias batrachus,Philippine catfish,"Native to South and Southeast Asia, capable of moving short distances on land. Reaches 50 cm and is farmed widely."
Alosa immaculata,Pontic shad,"Anadromous clupeid from the Black Sea. Reaches 40 cm, migrates upriver to spawn. Important commercial species."
Gymnocephalus cernua,Ruffe,"A small Eurasian perch species, usually 10-15 cm. Hardy, invasive in some regions, and feeds on benthic invertebrates."
Carassius langsdorfii,,"Native to Japan, reaching 35 cm. A hardy carp species, often found in ponds and rivers."
Trachelyopterus galeatus,,"A South American catfish reaching 25 cm. Nocturnal and secretive, often hiding during the day among submerged wood."
Gila atraria,Utah chub,"Native to western USA, inhabiting lakes and rivers. Grows up to 45 cm, omnivorous, and serves as prey for larger fish."
Uaru amphiacanthoides,Uaru,"A South American cichlid with a round, laterally compressed body. Reaches 25 cm, omnivorous, and popular in aquariums."
Amphilophus labiatus,Red devil,"Central American cichlid reaching 35 cm. Aggressive and territorial, with variable coloration from white to orange-red."
Chromobotia macracanthus,Clown loach,"Native to Borneo and Sumatra, bright orange with black bands. Social fish, reaching 30 cm, popular in aquariums."
Hypostomus plecostomus,Suckermouth catfish,"An armored catfish from South America, reaching 50 cm. Feeds on algae and detritus; hardy but often outgrows aquariums."
Satanoperca jurupari,Demon eartheater,"A South American cichlid, up to 20 cm, that sifts sand through its mouth to extract food. Peaceful and social."
Ameiurus natalis,Yellow bullhead,"A North American catfish up to 60 cm. Recognized by its yellow belly and barbels, omnivorous and hardy."
Pterygoplichthys pardalis,Amazon sailfin catfish,"A South American armored catfish with sail-like dorsal fin, reaching 40 cm. Invasive in many countries due to aquarium releases."
Mastacembelus armatus,Zig-zag eel,"A spiny eel from South and Southeast Asia, up to 90 cm. Elongated with zig-zag markings, nocturnal and burrowing."
Coregonus albula,Vendace,A small whitefish (15-25 cm) found in northern Europe’s lakes. Planktivorous and important for fisheries.
Notemigonus crysoleucas,Golden shiner,"A North American cyprinid up to 30 cm. Golden sheen, common bait fish, and tolerant of varied habitats."
Pygocentrus nattereri,Red piranha,"South American piranha with silvery body and red belly. Reaches 35 cm, known for sharp teeth and schooling behavior."
Hypsibarbus pierrei,,"A Southeast Asian cyprinid up to 25 cm, silvery body with yellow fins. Found in rivers, used as food fish."
Sarotherodon galilaeus,Mango tilapia,"Native to Africa and the Middle East, up to 28 cm. Important aquaculture species, mouthbrooding cichlid."
Lepomis gibbosus,Pumpkinseed,"North American sunfish, brightly colored with orange spots and red opercular flap. Grows to 25 cm. Invasive in Europe."
Pomoxis nigromaculatus,Black crappie,"North American sunfish, up to 40 cm, with black speckles. Popular sport fish found in lakes and rivers."
Leuciscus leuciscus,Common dace,"A European cyprinid up to 30 cm, silvery body, found in rivers and streams. Used as bait fish."
Oreochromis mossambicus,Mozambique tilapia,"A widespread tilapia species, up to 40 cm. Hardy and invasive, introduced worldwide for aquaculture."
Pelecus cultratus,Sichel,"A Eurasian cyprinid up to 55 cm, with laterally compressed body resembling a sabre blade."
Scatophagus argus,Spotted scat,"A brackish-water fish from the Indo-Pacific, reaching 38 cm. Rounded body with dark spots, commonly kept in aquariums and used as food fish."
Oxyeleotris marmorata,Marble goby,"A large freshwater goby from Southeast Asia, reaching 65 cm. Camouflaged with mottled brown pattern, prized as a food fish."
Alburnus chalcoides,Danube bleak,"A Eurasian cyprinid up to 35 cm, inhabiting rivers and lakes. Slender, silvery body, forms large schools."
Coptodon rendalli,Redbreast tilapia,"Native to Africa, reaching 45 cm. Recognized by reddish breast during breeding. Herbivorous and important in aquaculture."
Anguilla japonica,Japanese eel,"Catadromous species from East Asia, reaching 100 cm. Spawn in the Pacific Ocean and migrate to freshwater rivers."
Panaque nigrolineatus,Royal panaque,"A South American armored catfish, up to 43 cm. Notable for wood-eating habits and striped black-and-white pattern."
Labeo bata,Bata,"A South Asian cyprinid up to 30 cm. Found in rivers and floodplains, important in local fisheries."
Oreochromis esculentus,Singida tilapia,"Endemic to Lake Victoria, East Africa. Once abundant, now threatened due to competition from Nile tilapia and Nile perch."
Platichthys flesus,European flounder,"A flatfish up to 60 cm, native to European coasts. Inhabits brackish and marine waters, valued as a food fish."
Ballerus ballerus,Zope,"A Eurasian cyprinid up to 55 cm. Deep-bodied with bluish hue, inhabits rivers and large lakes."
Parachromis managuensis,Jaguar guapote,"Native to Central America, up to 60 cm. Predatory, with spotted “jaguar-like” pattern, aggressive aquarium fish."
Ambloplites rupestris,Rock bass,"A North American sunfish, up to 43 cm. Stocky body with red eyes, inhabits rocky streams and lakes."
Catostomus catostomus,Longnose sucker,"Native to North America, up to 50 cm. Elongated snout with sucker mouth, inhabits cold rivers and lakes."
Petromyzon marinus,Sea lamprey,"A parasitic, jawless fish from the Atlantic basin. Anadromous, attaches to other fish with toothed suction mouth."
Osteoglossum ferreirai,Black arawana,"A South American arowana, up to 90 cm. Juveniles are black with yellow markings; prized ornamental fish."
Coregonus peled,Peled,"A freshwater whitefish from Siberia, up to 55 cm. Planktivorous and important in commercial fisheries."
Luciobarbus graellsii,,"Endemic to Spain’s Ebro River basin, up to 80 cm. Omnivorous and important to local fisheries."
Rutilus rutilus,Roach,"A widespread Eurasian cyprinid, up to 45 cm. Silvery body with reddish fins; highly adaptable."
Coregonus autumnalis,Arctic cisco,"Anadromous whitefish up to 45 cm, distributed across Arctic rivers and coasts. Migrates long distances for spawning."
Thymallus arcticus,Arctic grayling,"Coldwater salmonid with a large, colorful dorsal fin. Found across Arctic North America and Asia."
Coregonus oxyrinchus,Houting,"Once widespread in Europe, now considered extinct in the wild. A whitefish with elongated snout."
Blicca bjoerkna,White bream,"A Eurasian cyprinid, up to 36 cm. Deep-bodied with silvery color, common in lakes and slow rivers."
Vimba vimba,Vimba bream,"A migratory Eurasian cyprinid up to 50 cm. Slender body, spawns in fast-flowing rivers."
Pterygoplichthys anisitsi,Snow pleco,"A large armored catfish from South America, up to 50 cm. Invasive in many tropical countries."
Oreochromis niloticus,Nile tilapia,"A widespread African cichlid, up to 60 cm. One of the most important aquaculture fish worldwide."
Kuhlia rupestris,Rock flagtail,"A silvery Indo-Pacific fish, up to 40 cm. Found in estuaries and rivers, schooling in behavior."
Moxostoma erythrurum,Golden redhorse,"A North American sucker fish, up to 62 cm. Recognized by golden sheen and red tail, inhabiting rivers."
Prosopium cylindraceum,Round whitefish,"A salmonid from North America and Siberia, up to 50 cm. Found in cold lakes and rivers, benthic feeder."
Odontesthes bonariensis,Argentinian silverside,"A freshwater and estuarine fish, up to 50 cm. Introduced widely for aquaculture and sport fishing."
Silurus asotus,Amur catfish,"A large catfish from East Asia, reaching 130 cm. Nocturnal predator, important in Asian fisheries."
Neolissochilus hexagonolepis,Copper mahseer,"A South Asian cyprinid, up to 120 cm. Important sport and food fish, inhabiting fast rivers."
Rhamdia quelen,South American catfish,"Distributed across South America, up to 45 cm. Omnivorous, hardy, and farmed in aquaculture."
Hoplias malabaricus,Trahira,"A predatory South American fish, up to 65 cm. Ambush predator with sharp teeth."
Ameiurus nebulosus,Brown bullhead,"A North American catfish, up to 45 cm. Hardy and invasive outside its native range."
Scardinius erythrophthalmus,Rudd,A Eurasian cyprinid up to 45 cm. Recognized by red fins and golden body; common in lakes and ponds.
Carassius auratus,Goldfish,"A domesticated carp from East Asia, up to 45 cm in the wild. Wide range of ornamental varieties."
Sander volgensis,Volga pikeperch,"A predatory fish from Eastern Europe, up to 45 cm. Related to zander but smaller."
Percalates novemaculeatus,Australian bass,"A freshwater-perching fish, up to 65 cm. Found in eastern Australia, important for sport fishing."
Chondrostoma nasus,Common nase,A European cyprinid up to 50 cm. Bottom feeder with scraping mouth; found in rivers.
Tandanus tandanus,Australian freshwater catfish,"An Australian catfish with eel-like tail, up to 90 cm. Native to rivers and lakes, important in Aboriginal culture."
Ptychocheilus grandis,Sacramento pikeminnow,"A predatory cyprinid from California rivers, up to 1 m. Voracious feeder on smaller fish."
Serranochromis robustus,Yellow-belly bream,"An African cichlid, up to 45 cm. Popular sport and food fish, predatory in nature."
Anguilla bicolor,Indonesian shortfin eel,"A catadromous eel from the Indo-Pacific, reaching 120 cm. Important in fisheries and aquaculture."
Coregonus wartmanni,Blaufelchen,"Endemic to Lake Constance, Central Europe. Reaches 60 cm; commercially important."
Channa striata,Striped snakehead,"A predatory fish from South and Southeast Asia, up to 1 m. Air-breathing and invasive in some regions."
Perca fluviatilis,European perch,"A widespread predatory fish in Europe and Asia, up to 60 cm. Recognized by dark vertical bands."
Ameiurus melas,Black bullhead,"A hardy catfish from North America, up to 35 cm. Introduced to Europe; tolerant of poor water quality."
Abramis brama,Freshwater bream,"A Eurasian cyprinid, up to 75 cm. Deep-bodied, silvery-bronze fish common in lakes and rivers."
Cichla monoculus,,"A South American cichlid, up to 70 cm. Brightly colored predator popular in sport fishing."
Thymallus thymallus,Grayling,"Salmonid with a large colorful dorsal fin, up to 60 cm. Found in European cold rivers."
Carassius gibelio,Prussian carp,"A Eurasian carp species, up to 45 cm. Hardy and invasive, reproduces by gynogenesis."
Bidyanus bidyanus,Silver perch,"An Australian freshwater fish, up to 40 cm. Important aquaculture species, omnivorous diet."
Leuciscus idus,Ide,"A European cyprinid up to 80 cm. Silvery body, kept as ornamental “orfe” in ponds."
Carassius carassius,Crucian carp,"A hardy European carp, up to 50 cm. Bronze coloration, tolerates low oxygen waters."
Scleropages leichardti,Southern saratoga,"A large freshwater fish from Queensland, up to 90 cm. Shiny scales, prized as ornamental."
Lepisosteus platyrhincus,Florida gar,"A long-snouted predator from southeastern USA, up to 132 cm. Armored scales and sharp teeth."
Chanos chanos,Milkfish,"A tropical Indo-Pacific fish, up to 1 m. Important aquaculture species, especially in the Philippines."
Labeo chrysophekadion,Black sharkminnow,"A large Southeast Asian cyprinid, up to 90 cm. Black body, popular but aggressive aquarium fish."
Gobiomorus dormitor,Bigmouth sleeper,"A large predatory goby from the Americas, up to 70 cm. Found in rivers and estuaries."
Cichla piquiti,,"A South American cichlid, up to 80 cm. Bright blue markings and large size make it a popular sport fish."
Boulengerochromis microlepis,Giant cichlid,"The largest cichlid species, endemic to Lake Tanganyika, reaching 90 cm. Predatory and highly valued by local fisheries."
Scleropages jardinii,Australian bonytongue,"A large freshwater fish from northern Australia, up to 90 cm. Bronze scales with red/orange spots, prized in aquaria."
Micropterus punctulatus,Spotted bass,"A North American black bass, up to 64 cm. Found in rivers and lakes; popular sport fish."
Oncorhynchus aguabonita,Golden trout,"Native to California, small salmonid with vivid gold coloration. Coldwater stream species."
Oncorhynchus masou,Masu salmon,"Found in East Asia, up to 70 cm. Anadromous, with a prized landlocked form known as yamame."
Amia calva,Bowfin,"A primitive North American fish, up to 110 cm. Gular plate and rounded tail are distinctive; voracious predator."
Micropterus dolomieu,Smallmouth bass,"Native to North America, up to 70 cm. Known for bronze body and aggressive sport-fishing behavior."
Osteoglossum bicirrhosum,Arawana,"A large South American predator, up to 120 cm. Jumps to catch prey above water; popular ornamental fish."
Moxostoma macrolepidotum,Shorthead redhorse,"A North American sucker fish, up to 55 cm. Recognized by red fins and short head."
Coregonus lavaretus,European whitefish,"Found in European lakes and rivers, up to 60 cm. Highly variable species complex, commercially important."
Barbus plebejus,,"Endemic to Italy, up to 40 cm. Bottom feeder, important in riverine ecosystems."
Coregonus clupeaformis,Lake whitefish,"A coldwater salmonid of North America, up to 70 cm. Commercially valuable for its flesh and roe."
Mugil cephalus,Flathead grey mullet,"A cosmopolitan coastal fish, up to 100 cm. Important in aquaculture and coastal fisheries."
Alosa sapidissima,American shad,"Anadromous herring from North America, up to 76 cm. Economically important, introduced worldwide."
Cichla ocellaris,Peacock cichlid,"A South American predatory cichlid, up to 74 cm. Brightly patterned, valued in sport fishing."
Percalates colonorum,Estuary perch,"Native to southeastern Australia, up to 75 cm. Found in estuaries and rivers, prized by anglers."
Megalobrama amblycephala,Wuchang bream,"A Chinese cyprinid, up to 40 cm. Important in aquaculture, herbivorous diet."
Anguilla anguilla,European eel,"Catadromous species, up to 150 cm. Spawns in the Sargasso Sea; critically endangered."
Coregonus muksun,Muksun,"A Siberian whitefish, up to 85 cm. Anadromous, valued in Russian fisheries."
Carpiodes carpio,River carpsucker,"A North American sucker fish, up to 60 cm. Found in large rivers, feeds on detritus."
Cichla orinocensis,,"Native to the Orinoco River basin, up to 70 cm. Predatory, with distinctive ocelli (eye-spots) on fins."
Oncorhynchus gorbuscha,Pink salmon,"The smallest Pacific salmon, up to 76 cm. Distinctive humpback in spawning males."
Carpiodes cyprinus,Quillback,"A North American sucker with long, quill-like dorsal fin ray. Grows up to 60 cm."
Lates mariae,Bigeye lates,"The Tanganyika lates is a large perch endemic to Lake Tanganyika, occupying pelagic to benthopelagic zones. Juveniles feed on zooplankton and shrimps, shifting to piscivory as adults. It supports regional fisheries but is sensitive to overharvest and lakewarming-induced stratification changes."
Squalius cephalus,Chub,"The European chub inhabits cool to warm rivers and lakes across much of Europe. An opportunistic omnivore, it consumes insects, small fish, fruits, and detritus. Hardy and tolerant of moderate pollution, it has benefitted from river engineering in places yet suffers from habitat homogenization."
Barbus barbus,Barbel,"The barbel is a rheophilic cyprinid of clear, fast rivers with gravel bottoms. Its inferior, fleshy lips and barbels suit benthic foraging on invertebrates and detritus. Many populations declined from weirs, gravel extraction, and altered flows, prompting restoration efforts."
Salmo letnica,Ohrid trout,"The Ohrid trout, endemic to Lake Ohrid, comprises distinct spawning forms tied to tributaries and seasons. It feeds on benthic invertebrates and fishes in deep oligotrophic waters. Overfishing and habitat alteration reduced stocks; hatchery supplementation and quotas are used."
Anguilla rostrata,American eel,"The American eel is catadromous: it grows in fresh/estuarine waters and spawns in the Sargasso Sea. Glass eels recruit widely along Atlantic North America before dispersing upstream. Dams, turbine mortality, and glass-eel exploitation are key threats."
Clarias macrocephalus,Bighead catfish,"The bighead walking catfish of Southeast Asia thrives in rice fields, swamps, and canals, breathing air via a suprabranchial organ. Nocturnal and omnivorous, it spawns in rainy-season nests. Aquaculture and habitat loss drive mixed conservation outlooks."
Coregonus nasus,Broad whitefish,"The broad whitefish of Arctic drainages occupies large rivers and lakes, migrating to spawn over gravel. It feeds on benthos and zooplankton and underpins northern subsistence fisheries. Climate change and barriers may disrupt migrations."
Salmo dentex,,"A large, piscivorous salmonid historically from Adriatic drainages; taxonomy remains debated. It prefers clear rivers and large lakes, spawning on coarse gravels. Hydropower, flow regulation, and hybridization with stocked trout threaten it."
Hampala macrolepidota,Hampala barb,The hampala barb is a swift Asian predator of forest streams and lowland rivers. Adults hunt fish and shrimps in runs and pools; juveniles form schools. Overfishing and damming fragment populations.
Moxostoma anisurum,Silver redhorse,"The silver redhorse is a large North American sucker that scrapes periphyton and invertebrates from substrates. It spawns in riffles in spring, often aggregating in large numbers. Sensitive to siltation and barriers that block migrations."
Rutilus frisii,Kutum,"The Black Sea roach complex inhabits lowland rivers and brackish lagoons. An omnivore, it grazes algae and detritus and consumes invertebrates. Eutrophication and water abstraction have reduced some stocks."
Heterotis niloticus,African bonytongue,"The African bonytongue is an air-breathing osteoglossiform from floodplains and swamps. It filter-sifts zooplankton and detritus using gill rakers; nests are guarded by parents. Widely fished and farmed, it is resilient but vulnerable to floodplain loss."
Chitala chitala,Clown knifefish,"The Indian featherback inhabits sluggish rivers and reservoirs, using undulating fin locomotion. Nocturnal and carnivorous, it preys on fishes and prawns; males guard eggs on submerged structures. Overfishing and pollution impact local stocks."
Prochilodus lineatus,Streaked prochilod,"A keystone detritivore of the Paraná-La Plata basin, making long migrations between feeding and spawning grounds. By bioturbating sediments, it recycles nutrients and fuels fisheries. Dams and floodplain isolation disrupt migrations."
Scleropages formosus,Asian bonytongue,"The Asian arowana is a surface predator of forest blackwaters, famed in aquaria. Mouthbrooding males carry fry; wild forms are color-varied. Overharvest and habitat loss led to strict CITES regulation."
Leptobarbus hoevenii,Hoven's carp,"The Sultan fish inhabits clear Malaysian rivers, grazing periphyton and fruits in flood seasons. It grows large and is prized as food; also cultured. Logging and damming degrade habitats."
Barbonymus gonionotus,Silver barb,Java barb is a widespread herbivore/detritivore of Southeast Asian lowlands. It thrives in canals and reservoirs and is extensively farmed and stocked. Floodplain connectivity boosts recruitment.
Coregonus maraena,Maraena whitefish,"Maraena whitefish is native to Baltic drainages, inhabiting cool lakes and coastal waters. It feeds on zooplankton and benthos and spawns on gravel shoals. Eutrophication and spawning-habitat loss lowered many populations."
Anguilla australis,Short-finned eel,"The shortfin eel breeds in the South Pacific gyre; juveniles recruit to Australia/NZ coasts. It occupies diverse freshwaters, grows for years, then migrates to spawn once. Commercial fisheries require careful quota and passage management."
Oncorhynchus nerka,Sockeye salmon,"Sockeye Salmon use natal homing to spawn in rivers or lake beaches; juveniles rear in lakes. Adults are plankton-feeding in the ocean, turning red during spawning. Sensitive to warming and passage barriers."
Tinca tinca,Tench,"Tench prefers vegetated, slow waters of Eurasia. A tolerant, benthic omnivore, it roots for invertebrates and detritus; thick mucus aids low-oxygen survival. It’s introduced widely, sometimes invasive."
Osphronemus goramy,Giant gourami,The giant gourami is an air-breathing omnivore of SE Asian swamps and rivers. It builds large nests and is a major aquaculture species. Habitat conversion and capture of wild broodstock affect native stocks.
Salvelinus fontinalis,Brook trout,"Brook trout inhabit cold, clear streams and lakes in eastern North America. They require high oxygen and complex cover and spawn in upwelling gravels. Stocking and hybridization with introduced char complicate conservation."
Salvelinus leucomaenis,Whitespotted char,The whitespotted char ranges across NE Asia in mountain streams and lakes; some are anadromous. It feeds on aquatic and terrestrial invertebrates and small fish. Dams and warming reduce cold-water refugia.
Tor tor,Tor barb,"The tor mahseer is a large, migratory cyprinid of Himalayan foothill rivers. It spawns on clean gravels during monsoon; adults take fruits, invertebrates, and fish. Overfishing and dams have driven declines; restocking programs exist."
Labeobarbus aeneus,Smallmouth yellowfish,"The smallmouth yellowfish of southern Africa inhabits large rivers and reservoirs. Omnivorous and long-lived, it underpins sport fisheries. Water abstraction and alien species are key pressures."
Hoplias lacerdae,,"A large trahira from Brazilian basins, ambushing fish with powerful jaws. Nocturnal and territorial, it occupies deep pools and vegetated margins. Overfishing and damming threaten some stocks."
Channa argus,Snakehead,"The northern snakehead is a predatory air-breather native to East Asia; invasive in North America. It tolerates low oxygen and extreme temperatures, preying on fish and amphibians. Control focuses on preventing spread."
Salvelinus malma,Dolly varden,Dolly Varden includes anadromous and resident forms across the North Pacific rim. It feeds on invertebrates and fish; anadromous fish grow quickly at sea. Sensitive to thermal regime shifts and barriers.
Lutjanus argentimaculatus,Mangrove red snapper,The mangrove red snapper is a euryhaline reef-associated predator. Juveniles use estuarine mangroves as nurseries before moving to reefs. Overfishing and mangrove loss are key threats.
